Model,MAE,RMSE,MAPE,R2
LSTM,3968.9614007928426,5292.829284607737,6.115699165246561,0.8597961232679305
LSTM+Attention,2719.9308560846152,3823.29120486839,4.4102258201082885,0.9268424749030054
